edge_id,global_i,global_j,block_i,block_j,index_i,index_j,cell_i,cell_j,d_Cplus,d_Q,original_obstruction,split_i,split_j,retained_after_split,post_split_obstruction
85,685.0,1080.0,2.0,2.0,12.0,407.0,3.0,3.0,0.3533265292644501,1.0503413677215576,True,1,0,False,False
86,686.0,1060.0,2.0,2.0,13.0,387.0,3.0,3.0,0.3472695052623749,0.6380411982536316,False,0,0,True,False
87,686.0,1061.0,2.0,2.0,13.0,388.0,3.0,3.0,0.3303748965263366,0.6584446430206299,False,0,0,True,False
88,686.0,1062.0,2.0,2.0,13.0,389.0,3.0,3.0,0.3290877640247345,0.6818963885307312,False,0,0,True,False
89,686.0,1063.0,2.0,2.0,13.0,390.0,3.0,3.0,0.34226879477500916,0.7090150117874146,False,0,0,True,False
90,686.0,1077.0,2.0,2.0,13.0,404.0,3.0,3.0,0.3584614098072052,1.0087246894836424,False,0,0,True,False
91,686.0,1078.0,2.0,2.0,13.0,405.0,3.0,3.0,0.3507983088493347,1.008780002593994,False,0,0,True,False
92,686.0,1079.0,2.0,2.0,13.0,406.0,3.0,3.0,0.3497219383716583,1.010772943496704,False,0,0,True,False
93,686.0,1080.0,2.0,2.0,13.0,407.0,3.0,3.0,0.3546551764011383,1.0155732631683347,False,0,0,True,False
94,687.0,1060.0,2.0,2.0,14.0,387.0,3.0,3.0,0.33837592601776123,0.61529141664505,False,0,0,True,False
95,687.0,1061.0,2.0,2.0,14.0,388.0,3.0,3.0,0.3247981071472168,0.6314345598220825,False,0,0,True,False
96,687.0,1062.0,2.0,2.0,14.0,389.0,3.0,3.0,0.3279091715812683,0.6511850357055664,False,0,0,True,False
97,687.0,1063.0,2.0,2.0,14.0,390.0,3.0,3.0,0.3453960418701172,0.6751075983047485,False,0,0,True,False
98,687.0,1078.0,2.0,2.0,14.0,405.0,3.0,3.0,0.35805991291999817,0.9715704321861267,False,0,0,True,False
99,687.0,1079.0,2.0,2.0,14.0,406.0,3.0,3.0,0.3553740084171295,0.9739223718643187,False,0,0,True,False
100,687.0,1080.0,2.0,2.0,14.0,407.0,3.0,3.0,0.35817545652389526,0.9790546298027039,False,0,0,True,False
101,688.0,1060.0,2.0,2.0,15.0,387.0,3.0,3.0,0.3334330916404724,0.5979797840118408,False,0,0,True,False
102,688.0,1061.0,2.0,2.0,15.0,388.0,3.0,3.0,0.32242485880851746,0.6094123125076294,False,0,0,True,False
103,688.0,1062.0,2.0,2.0,15.0,389.0,3.0,3.0,0.32917895913124084,0.6247915029525757,False,0,0,True,False
104,688.0,1063.0,2.0,2.0,15.0,390.0,3.0,3.0,0.3502578139305115,0.6448515653610228,False,0,0,True,False
105,689.0,1060.0,2.0,2.0,16.0,387.0,3.0,3.0,0.33338454365730286,0.5873384475708008,False,0,0,True,False
106,689.0,1061.0,2.0,2.0,16.0,388.0,3.0,3.0,0.3241046369075775,0.5940624475479126,False,0,0,True,False
107,689.0,1062.0,2.0,2.0,16.0,389.0,3.0,3.0,0.33359673619270325,0.6046522259712219,False,0,0,True,False
108,689.0,1063.0,2.0,2.0,16.0,390.0,3.0,3.0,0.3574516773223877,0.6201270222663879,False,0,0,True,False
